seq,rei_id,cause_id,study_id,bundle_id,bundle_version_id,risk_type,ln_rr,ln_rr_se,cov_dummy
0,99,923,132098,0,0,dichotomous,0.307484699747961,0.172847563658992,0.0
1,99,923,132098,0,0,dichotomous,0.113328685307003,0.258061457060837,0.0
2,99,923,165283,0,0,dichotomous,-0.2484613592985,0.274393563888625,0.0
3,99,923,261365,0,0,dichotomous,0.587786664902119,0.225099280662876,0.0
4,99,923,261365,0,0,dichotomous,0.587786664902119,0.197242318426909,0.0
5,99,923,261375,0,0,dichotomous,0.307484699747961,0.0988384190320117,0.0
6,99,923,261375,0,0,dichotomous,0.46373401623214,0.216497587805912,0.0
7,99,923,261377,0,0,dichotomous,0.60431596685333,0.171907847370936,0.0
8,99,923,261377,0,0,dichotomous,0.802001585472027,0.390151837949123,0.0
9,99,923,261381,0,0,dichotomous,0.78845736036427,0.35364652069385,0.0
10,99,923,261381,0,0,dichotomous,0.8754687373539,0.342789476199259,0.0
11,99,923,261387,0,0,dichotomous,0.0769610411361284,0.45996403685765,0.0
12,99,923,261399,0,0,dichotomous,-0.3147107448397,0.565197376531739,0.0
13,99,923,261399,0,0,dichotomous,-0.3147107448397,0.565197376531739,0.0
14,99,923,261411,0,0,dichotomous,0.371563556432483,0.263926130077342,0.0
15,99,923,261418,0,0,dichotomous,0.336472236621213,0.239354499641054,0.0
16,99,923,261424,0,0,dichotomous,0.198850858745165,0.240374035274851,0.0
17,99,923,261426,0,0,dichotomous,0.53062825106217,0.209433814303528,0.0
18,99,923,261429,0,0,dichotomous,0.113328685307003,0.0938073418687034,0.0
19,99,923,261429,0,0,dichotomous,0.048790164169432,0.210887391118487,0.0
20,99,923,261433,0,0,dichotomous,0.176471143115779,0.349905170822341,0.0
21,99,923,261473,0,0,dichotomous,0.048790164169432,0.214557987407288,0.0
22,99,923,261498,0,0,dichotomous,0.0953101798043249,0.142759129575363,0.0
23,99,923,315458,0,0,dichotomous,0.756121979721334,0.333323203669903,0.0
24,99,923,315458,0,0,dichotomous,0.438254930931155,0.422301792264266,0.0
25,99,923,394006,0,0,dichotomous,0.524728528934982,0.193836366086382,0.0
26,99,923,394006,0,0,dichotomous,0.122217632724249,0.0629745096764096,0.0
27,99,923,394006,0,0,dichotomous,0.009950330853168,0.0755780143222378,0.0
28,99,923,394006,0,0,dichotomous,0.398776119957368,0.109041840517076,0.0
29,99,923,394006,0,0,dichotomous,0.431782416425538,0.121736993103828,0.0
30,99,923,394006,0,0,dichotomous,0.122217632724249,0.0543860256278168,0.0
31,99,923,394006,0,0,dichotomous,0.438254930931155,0.147736888305868,0.0
32,99,923,394006,0,0,dichotomous,0.0198026272961797,0.0647399287694131,0.0
33,99,923,394006,0,0,dichotomous,0.470003629245736,0.118387910954748,0.0
34,99,923,414192,0,0,dichotomous,1.12817109090965,0.317377518453915,0.0
35,99,923,414192,0,0,dichotomous,0.717839793150317,0.339921340593601,0.0
36,99,923,414194,0,0,dichotomous,1.47704872438835,0.385339038790246,0.0
37,99,923,414201,0,0,dichotomous,0.29266961396282,0.155328274730154,0.0
38,99,923,414201,0,0,dichotomous,0.385262400790645,0.17067592576043,0.0
39,99,923,414201,0,0,dichotomous,0.916290731874155,0.233747635682182,0.0
40,99,923,414201,0,0,dichotomous,-0.198450938723838,0.345938924113111,0.0
